2020-06-19 16:14:50,423 - Statistics - INFO - {'ID': 24, 'CulturalName': '与华相宜瓦当', 'CulturalCode': 23, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,423 - Statistics - INFO - {'ID': 25, 'CulturalName': '八风寿存瓦当', 'CulturalCode': 24, 'Numbertest': 46, 'PASS': 46, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,423 - Statistics - INFO - {'ID': 26, 'CulturalName': '佐戈瓦当', 'CulturalCode': 25, 'Numbertest': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,423 - Statistics - INFO - {'ID': 27, 'CulturalName': '玄武瓦当', 'CulturalCode': 26, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,423 - Statistics - INFO - {'ID': 28, 'CulturalName': '朱雀纹瓦当', 'CulturalCode': 27, 'Numbertest': 45, 'PASS': 45, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,424 - Statistics - INFO - {'ID': 29, 'CulturalName': '虎纹瓦当', 'CulturalCode': 28, 'Numbertest': 41, 'PASS': 41, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,424 - Statistics - INFO - {'ID': 30, 'CulturalName': '龙纹瓦当', 'CulturalCode': 29, 'Numbertest': 60, 'PASS': 49, 'FAIL': 11, 'ERROR': 0, 'Accuracy': 0.817, 'Color': 'ffc7ce_9c0006'}
2020-06-19 16:14:50,424 - Statistics - INFO - {'ID': 31, 'CulturalName': '鼎胡（湖）延寿宫瓦当', 'CulturalCode': 30, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,424 - Statistics - INFO - {'ID': 32, 'CulturalName': '延寿长相思瓦当', 'CulturalCode': 31, 'Numbertest': 46, 'PASS': 45, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,424 - Statistics - INFO - {'ID': 33, 'CulturalName': '千秋万岁瓦当', 'CulturalCode': 32, 'Numbertest': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,425 - Statistics - INFO - {'ID': 34, 'CulturalName': '无极瓦当', 'CulturalCode': 33, 'Numbertest': 45, 'PASS': 44, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.978, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,425 - Statistics - INFO - {'ID': 35, 'CulturalName': '长乐未央瓦当', 'CulturalCode': 34, 'Numbertest': 60, 'PASS': 60, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,425 - Statistics - INFO - {'ID': 36, 'CulturalName': '羽阳千岁瓦当', 'CulturalCode': 35, 'Numbertest': 44, 'PASS': 44, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,425 - Statistics - INFO - {'ID': 37, 'CulturalName': '板瓦', 'CulturalCode': 36, 'Numbertest': 40, 'PASS': 39, 'FAIL': 1, 'ERROR': 0, 'Accuracy': 0.975, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,425 - Statistics - INFO - {'ID': 38, 'CulturalName': '北司戳印板瓦', 'CulturalCode': 37, 'Numbertest': 49, 'PASS': 49, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,426 - Statistics - INFO - {'ID': 39, 'CulturalName': '砖', 'CulturalCode': 38, 'Numbertest': 43, 'PASS': 43, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,426 - Statistics - INFO - {'ID': 40, 'CulturalName': '石夯头', 'CulturalCode': 39, 'Numbertest': 73, 'PASS': 73, 'FAIL': 0, 'ERROR': 0, 'Accuracy': 1.0, 'Color': 'c6efce_006100'}
2020-06-19 16:14:50,426 - Statistics - INFO - {'Totaltype': '文物识别测试件数：40', 'SumNumbers': '识别总数(次数、图片总数)：2148', 'SumPass': '识别准确数：1882', 'SumFail': '识别不准确数：266', 'Standard': '识别准确率达标数：29', 'UnStandard': '识别准确率未达标数：11', 'threshold': '准确率标准为不低于95.00%', 'StandardRate': '文物识别准确率满足标准的达标率：72.50%', 'summary': '本次文物识别共计测试40件，准确率达标29件，剩余11件未达标，达标率为：72.50%'}
