2020-06-19 14:47:05,743 - TestValue - INFO - {'Test_ID': 3, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:04', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121859.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.393, 'top1': 160, 'top2': 0, 'top3': 7, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121859.jpg'}
2020-06-19 14:47:05,764 - TestValue - INFO - {'Test_ID': 2, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:04', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121858.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.414, 'top1': 160, 'top2': 0, 'top3': 7, 'Result': 'FAIL', 'Color': 'ffc7ce_9c0006', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121858.jpg'}
2020-06-19 14:47:05,771 - TestValue - INFO - {'Test_ID': 1, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:04', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121857.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.422, 'top1': 0, 'top2': 160, 'top3': 288, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121857.jpg'}
2020-06-19 14:47:07,145 - TestValue - INFO - {'Test_ID': 4, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:05', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121900.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.4, 'top1': 0, 'top2': 160, 'top3': 7, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121900.jpg'}
2020-06-19 14:47:07,148 - TestValue - INFO - {'Test_ID': 5, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:05', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121900_1.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.382, 'top1': 0, 'top2': 160, 'top3': 159, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121900_1.jpg'}
2020-06-19 14:47:07,164 - TestValue - INFO - {'Test_ID': 6, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:05', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121901.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.391, 'top1': 0, 'top2': 289, 'top3': 160, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121901.jpg'}
2020-06-19 14:47:08,587 - TestValue - INFO - {'Test_ID': 7, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:07', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121902.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.44, 'top1': 0, 'top2': 267, 'top3': 106, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121902.jpg'}
2020-06-19 14:47:08,591 - TestValue - INFO - {'Test_ID': 8, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:07', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121903.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.442, 'top1': 0, 'top2': 106, 'top3': 289, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121903.jpg'}
2020-06-19 14:47:08,602 - TestValue - INFO - {'Test_ID': 9, 'Test_Batch': '20200619_1', 'Test_Version': 'v1.0_201912181512', 'Test_Time': '2020/06/19 14:47:07', 'Cultural_Name': '人物车马俑', 'Test_Chart': 'IMG_20190807_121903_1.jpg', 'Code': 0, 'Expected_Value': 0, 'TimeConsuming': 1.437, 'top1': 0, 'top2': 289, 'top3': 267, 'Result': 'PASS', 'Color': 'c6efce_006100', 'Image_Path': 'D:\\Python\\python3\\文物识别批量测试\\8.6日拍摄测试样本照片（批处理）\\0\\IMG_20190807_121903_1.jpg'}
